Away Team,Home Team,Away Team Spread,Away Team Spread Odds,Away Team ML,Home Team Spread,Home Team Spread Odds,Home Team ML,Week
BAL Ravens,KC Chiefs,+3,−118,+124,-3,−108,−148,1
GB Packers,PHI Eagles,-3,−102,+105,+2,−112,−125,1
JAX Jaguars,MIA Dolphins,+2,−110,+150,-2,−112,−180,1
ARI Cardinals,BUF Bills,-2,−110,+230,+3.5,−108,−285,1
MIN Vikings,NY Giants,+3.5,−110,−118,-3.5,−110,−102,1
NE Patriots,CIN Bengals,-3.5,−110,+350,+6.5,−110,−455,1
HOU Texans,IND Colts,+6.5,−110,−122,-6.5,−110,+102,1
TEN Titans,CHI Bears,-6.5,−110,+164,-1,−110,−198,1
CAR Panthers,NO Saints,-1,−110,+170,+1,−110,−205,1
PIT Steelers,ATL Falcons,+1,−110,+110,+9,−110,−130,1
DEN Broncos,SEA Seahawks,+9,−110,+170,-9,−110,−205,1
LV Raiders,LA Chargers,-9,−110,+130,-1.5,−110,−155,1
DAL Cowboys,CLE Browns,-1.5,−110,+110,+1.5,−110,−130,1
WAS Commanders,TB Buccaneers,+1.5,−110,+154,+4,−110,−185,1
LA Rams,DET Lions,+4,−108,+164,-4,−112,−198,1
NY Jets,SF 49ers,-4,−112,+180,+5,−108,−218,1
BUF Bills,MIA Dolphins,+5,−112,−105,-5,−110,−115,2
NO Saints,DAL Cowboys,-5,−108,+210,+2,−110,−258,2
LV Raiders,BAL Ravens,+2,−110,+285,-2,−115,−360,2
IND Colts,GB Packers,-2,−110,+160,+4.5,−105,−192,2
NY Jets,TEN Titans,+4.5,−105,−198,-4.5,−110,+164,2
SF 49ers,MIN Vikings,-4.5,−115,−258,+3,−110,+210,2
SEA Seahawks,NE Patriots,+3,−110,−148,-3,−110,+124,2
TB Buccaneers,DET Lions,-3,−110,+230,+2,−110,−285,2
LA Chargers,CAR Panthers,+2,−110,−175,-2,−112,+145,2
CLE Browns,JAX Jaguars,-2,−110,−105,+3.5,−108,−115,2
NY Giants,WAS Commanders,+3.5,−110,+120,-3.5,−110,−142,2
LA Rams,ARI Cardinals,-3.5,−110,−135,+3.5,−110,+114,2
PIT Steelers,DEN Broncos,+3.5,−112,−166,-3.5,−110,+140,2
CIN Bengals,KC Chiefs,-3.5,−108,+160,+5,−110,−192,2
CHI Bears,HOU Texans,+5,−112,+150,-5,−108,−180,2
ATL Falcons,PHI Eagles,-5,−108,+142,+1,−112,−170,2
NE Patriots,NY Jets,+1,−110,+280,-1,−110,−355,3
DEN Broncos,TB Buccaneers,-1,−110,+154,+6,−110,−185,3
NY Giants,CLE Browns,+6,−110,+225,-6,−110,−278,3
HOU Texans,MIN Vikings,-6,−110,−205,+7.5,−110,+170,3
GB Packers,TEN Titans,+7.5,−110,−180,-7.5,−110,+150,3
CHI Bears,IND Colts,-7.5,−110,+114,+4,−110,−135,3
PHI Eagles,NO Saints,+4,−112,−155,-4,−108,+130,3
LA Chargers,PIT Steelers,-4,−108,+120,-4,−112,−142,3
MIA Dolphins,SEA Seahawks,-4,−110,−130,+4,−110,+110,3
CAR Panthers,LV Raiders,+4,−110,+164,-6,−110,−198,3
DET Lions,ARI Cardinals,-6,−110,−198,+6,−110,+164,3
SF 49ers,LA Rams,+6,−110,−162,-2.5,−110,+136,3
BAL Ravens,DAL Cowboys,-2.5,−120,−108,+2.5,−110,−112,3
KC Chiefs,ATL Falcons,+2.5,+100,−185,+6,−110,+154,3
JAX Jaguars,BUF Bills,+6,−105,+180,-6,−110,−218,3
WAS Commanders,CIN Bengals,-6,−115,+260,-3,−110,−325,3
DAL Cowboys,NY Giants,-3,−120,−198,+3,−110,+164,4
PHI Eagles,TB Buccaneers,+3,+100,−162,+1,−110,+136,4
MIN Vikings,GB Packers,+1,−110,+180,-1,−110,−218,4
CIN Bengals,CAR Panthers,-1,−110,−285,+3,−110,+230,4
JAX Jaguars,HOU Texans,+3,−120,+150,-3,−110,−180,4
LA Rams,CHI Bears,-3,+100,+102,-2.5,−110,−122,4
PIT Steelers,IND Colts,-2.5,−110,+102,+2.5,−108,−122,4
NO Saints,ATL Falcons,+2.5,−110,+150,-3,−112,−180,4
DEN Broncos,NY Jets,-3,−118,+280,+3,−110,−355,4
NE Patriots,SF 49ers,+3,−102,+470,+3.5,−110,−650,4
WAS Commanders,ARI Cardinals,+3.5,−108,+114,-3.5,−110,−135,4
KC Chiefs,LA Chargers,-3.5,−112,−175,+3.5,−110,+145,4
CLE Browns,LV Raiders,+3.5,−110,−142,-3.5,−110,+120,4
BUF Bills,BAL Ravens,-3.5,−110,+130,+3.5,−110,−155,4
TEN Titans,MIA Dolphins,+3.5,−118,+230,-3.5,−110,−285,4
SEA Seahawks,DET Lions,-3.5,−102,+205,+7.5,−110,−250,4
TB Buccaneers,ATL Falcons,+7.5,−110,+140,-7.5,−110,−166,5
NY Jets,MIN Vikings,-7.5,−110,−192,+3.5,−110,+160,5
BUF Bills,HOU Texans,+3.5,−110,+105,-3.5,−110,−125,5
CAR Panthers,CHI Bears,-3.5,−110,+185,+6.5,−110,−225,5
MIA Dolphins,NE Patriots,+6.5,−112,−205,-6.5,−108,+170,5
IND Colts,JAX Jaguars,-6.5,−108,+114,-3.5,−112,−135,5
CLE Browns,WAS Commanders,-3.5,−120,−166,+3.5,−110,+140,5
BAL Ravens,CIN Bengals,+3.5,+100,+102,-3.5,−110,−122,5
LV Raiders,DEN Broncos,-3.5,−110,−108,+3.5,−110,−112,5
ARI Cardinals,SF 49ers,+3.5,−110,+350,+2,−110,−455,5
NY Giants,SEA Seahawks,+2,−110,+145,-2,−108,−175,5
GB Packers,LA Rams,-2,−110,+114,-3,−112,−135,5
DAL Cowboys,PIT Steelers,-3,−110,−130,+3,−110,+110,5
NO Saints,KC Chiefs,+3,−110,+300,+2.5,−110,−380,5
SF 49ers,SEA Seahawks,+2.5,−102,−225,-2.5,−108,+185,6
JAX Jaguars,CHI Bears,-2.5,−118,−112,-2,−112,−108,6
TB Buccaneers,NO Saints,-2,−110,+102,+2,−110,−122,6
IND Colts,TEN Titans,+2,−110,−122,+4,−110,+102,6
HOU Texans,NE Patriots,+4,−110,−205,-4,−110,+170,6
ARI Cardinals,GB Packers,-4,−110,+180,-4,−110,−218,6
CLE Browns,PHI Eagles,-4,−110,+130,+4,−108,−155,6
WAS Commanders,BAL Ravens,+4,−110,+330,-3,−112,−425,6
LA Chargers,DEN Broncos,-3,−110,−148,+3,−108,+124,6
PIT Steelers,LV Raiders,+3,−110,−115,+1,−112,−105,6
DET Lions,DAL Cowboys,+1,−115,−102,-1,−110,−118,6
ATL Falcons,CAR Panthers,-1,−105,−180,-3.5,−110,+150,6
CIN Bengals,NY Giants,-3.5,−110,−205,+3.5,−110,+170,6
BUF Bills,NY Jets,+3.5,−110,+102,+5,−110,−122,6
DEN Broncos,NO Saints,+5,−110,+150,-5,−110,−180,7
NE Patriots,JAX Jaguars,-5,−110,+240,+7,−110,−298,7
SEA Seahawks,ATL Falcons,+7,−105,+145,-7,−110,−175,7
TEN Titans,BUF Bills,-7,−115,+280,-4,−110,−355,7
CIN Bengals,CLE Browns,-4,−110,−112,+4,−110,−108,7
HOU Texans,GB Packers,+4,−110,+114,-3,−110,−135,7
MIA Dolphins,IND Colts,-3,−110,−118,+3,−110,−102,7
PHI Eagles,NY Giants,+3,−110,−205,+5,−110,+170,7
DET Lions,MIN Vikings,+5,−110,−170,-5,−108,+142,7
LV Raiders,LA Rams,-5,−110,+170,-6.5,−112,−205,7
CAR Panthers,WAS Commanders,-6.5,−110,+130,+6.5,−108,−155,7
KC Chiefs,SF 49ers,+6.5,−110,−102,+3.5,−112,−118,7
NY Jets,PIT Steelers,+3.5,−112,−115,-3.5,−110,−105,7
BAL Ravens,TB Buccaneers,-3.5,−108,−225,+1.5,−110,+185,7
LA Chargers,ARI Cardinals,+1.5,−110,−102,-1.5,−110,−118,7
MIN Vikings,LA Rams,-1.5,−110,+150,+1.5,−110,−180,8
BAL Ravens,CLE Browns,+1.5,−110,−115,-1.5,−110,−105,8
ATL Falcons,TB Buccaneers,-1.5,−110,−105,+3.5,−110,−115,8
GB Packers,JAX Jaguars,+3.5,−110,−118,-3.5,−108,−102,8
TEN Titans,DET Lions,-3.5,−110,+295,+7.5,−112,−375,8
IND Colts,HOU Texans,+7.5,−110,+164,-7.5,−110,−198,8
CHI Bears,WAS Commanders,-7.5,−110,−130,+11.5,−110,+110,8
ARI Cardinals,MIA Dolphins,+11.5,−110,+210,-11.5,−110,−258,8
NY Jets,NE Patriots,-11.5,−110,−218,+2.5,−110,+180,8
BUF Bills,SEA Seahawks,+2.5,−105,−155,-2.5,−108,+130,8
NO Saints,LA Chargers,-2.5,−115,+130,-3,−112,−155,8
KC Chiefs,LV Raiders,-3,−120,−230,+3,−110,+190,8
CAR Panthers,DEN Broncos,+3,+100,+114,-2.5,−110,−135,8
PHI Eagles,CIN Bengals,-2.5,−115,+130,+2.5,−108,−155,8
DAL Cowboys,SF 49ers,+2.5,−105,+195,+3,−112,−238,8
NY Giants,PIT Steelers,+3,−110,+164,-3,−110,−198,8
HOU Texans,NY Jets,-3,−110,+120,+6.5,−110,−142,9
MIA Dolphins,BUF Bills,+6.5,−110,+130,-6.5,−110,−155,9
NE Patriots,TEN Titans,-6.5,−110,+124,+6,−110,−148,9
IND Colts,MIN Vikings,+6,−115,−108,-6,−110,−112,9
DEN Broncos,BAL Ravens,-6,−105,+425,+3,−110,−575,9
LV Raiders,CIN Bengals,+3,−105,+270,-3,−110,−340,9
WAS Commanders,NY Giants,-3,−115,+105,-4,−110,−125,9
LA Chargers,CLE Browns,-4,−108,+142,+4,−110,−170,9
NO Saints,CAR Panthers,+4,−112,−120,+1.5,−110,+100,9
DAL Cowboys,ATL Falcons,+1.5,−110,−115,-1.5,−110,−105,9
CHI Bears,ARI Cardinals,-1.5,−110,−122,+5.5,−110,+102,9
LA Rams,SEA Seahawks,+5.5,−112,−122,-5.5,−108,+102,9
DET Lions,GB Packers,-5.5,−108,+105,-4.5,−112,−125,9
JAX Jaguars,PHI Eagles,-4.5,−110,+154,+4.5,−110,−185,9
TB Buccaneers,KC Chiefs,+4.5,−110,+285,+2.5,−110,−360,9
CIN Bengals,BAL Ravens,+2.5,−110,+130,-2.5,−108,−155,10
NY Giants,CAR Panthers,-2.5,−110,−118,-3,−112,−102,10
SF 49ers,TB Buccaneers,-3,−115,−340,+3,−108,+270,10
ATL Falcons,NO Saints,+3,−105,−115,+1.5,−112,−105,10
NE Patriots,CHI Bears,+1.5,−110,+190,-1.5,−110,−230,10
MIN Vikings,JAX Jaguars,-1.5,−110,+142,+1,−110,−170,10
DEN Broncos,KC Chiefs,+1,−115,+340,-1,−110,−440,10
PIT Steelers,WAS Commanders,-1,−105,−122,+9.5,−110,+102,10
BUF Bills,IND Colts,+9.5,−110,−130,-9.5,−110,+110,10
TEN Titans,LA Chargers,-9.5,−110,+160,+3.5,−110,−192,10
NY Jets,ARI Cardinals,+3.5,−110,−155,-3.5,−108,+130,10
PHI Eagles,DAL Cowboys,-3.5,−110,+110,+1.5,−112,−130,10
DET Lions,HOU Texans,+1.5,−108,−105,-1.5,−108,−115,10
MIA Dolphins,LA Rams,-1.5,−112,−102,-1.5,−112,−118,10
WAS Commanders,PHI Eagles,-1.5,−112,+270,+1.5,−110,−340,11
LV Raiders,MIA Dolphins,+1.5,−108,+230,+8,−110,−285,11
CLE Browns,NO Saints,+8,−110,−135,-8,−110,+114,11
LA Rams,NE Patriots,-8,−110,−198,-5,−110,+164,11
JAX Jaguars,DET Lions,-5,−110,+160,+5,−110,−192,11
BAL Ravens,PIT Steelers,+5,−110,−155,-1,−110,+130,11
GB Packers,CHI Bears,-1,−105,−112,+1,−110,−108,11
MIN Vikings,TEN Titans,+1,−115,−112,+1.5,−110,−108,11
SEA Seahawks,SF 49ers,+1.5,−110,+330,-1.5,−110,−425,11
ATL Falcons,DEN Broncos,-1.5,−110,−170,-1.5,−110,+142,11
KC Chiefs,BUF Bills,-1.5,−112,−110,+1.5,−108,−110,11
CIN Bengals,LA Chargers,+1.5,−108,−130,-4.5,−112,+110,11
IND Colts,NY Jets,-4.5,−110,+170,+4.5,−110,−205,11
HOU Texans,DAL Cowboys,+4.5,−110,+130,+5,−110,−155,11
PIT Steelers,CLE Browns,+5,−110,+120,-5,−108,−142,12
DAL Cowboys,WAS Commanders,-5,−110,−180,+3,−112,+150,12
TEN Titans,HOU Texans,+3,−112,+210,-3,−108,−258,12
TB Buccaneers,NY Giants,-3,−108,−115,+8.5,−112,−105,12
MIN Vikings,CHI Bears,+8.5,−110,+140,-8.5,−110,−166,12
DET Lions,IND Colts,-8.5,−110,−135,-2.5,−110,+114,12
KC Chiefs,CAR Panthers,-2.5,−120,−375,+2.5,−110,+295,12
NE Patriots,MIA Dolphins,+2.5,+100,+295,-1,−110,−375,12
DEN Broncos,LV Raiders,-1,−108,+130,+1,−110,−155,12
ARI Cardinals,SEA Seahawks,+1,−112,+130,+1,−110,−155,12
SF 49ers,GB Packers,+1,−110,−130,-1,−110,+110,12
PHI Eagles,LA Rams,-1,−110,−110,-3.5,−110,−110,12
BAL Ravens,LA Chargers,-3.5,−112,−155,+3.5,−108,+130,12
CHI Bears,DET Lions,+3.5,−108,+160,-4.5,−112,−192,13
NY Giants,DAL Cowboys,-4.5,−110,+310,+4.5,−108,−395,13
MIA Dolphins,GB Packers,+4.5,−110,+130,+1.5,−112,−155,13
LV Raiders,KC Chiefs,+1.5,−110,+280,-1.5,−110,−355,13
IND Colts,NE Patriots,-1.5,−110,−155,+3.5,−110,+130,13
TEN Titans,WAS Commanders,+3.5,−110,+102,-3.5,−110,−122,13
ARI Cardinals,MIN Vikings,-3.5,−110,+110,+6.5,−110,−130,13
LA Chargers,ATL Falcons,+6.5,−105,+114,-6.5,−110,−135,13
SEA Seahawks,NY Jets,-6.5,−115,+170,+3.5,−110,−205,13
PIT Steelers,CIN Bengals,+3.5,−115,+185,-3.5,−110,−225,13
HOU Texans,JAX Jaguars,-3.5,−105,−110,+7,−110,−110,13
LA Rams,NO Saints,+7,+100,−125,-7,−112,+105,13
TB Buccaneers,CAR Panthers,-7,−120,−130,-1,−108,+110,13
PHI Eagles,BAL Ravens,-1,−105,+154,+1,−110,−185,13
SF 49ers,BUF Bills,+1,−115,−125,+2.5,−110,+105,13
CLE Browns,DEN Broncos,+2.5,−112,−185,-2.5,−110,+154,13
GB Packers,DET Lions,-2.5,−108,+130,-1,−110,−155,14
ATL Falcons,MIN Vikings,-1,−110,−118,+1,−110,−102,14
NO Saints,NY Giants,+1,−110,−108,-4.5,−110,−112,14
CAR Panthers,PHI Eagles,-4.5,−110,+295,+4.5,−110,−375,14
CLE Browns,PIT Steelers,+4.5,−110,−110,-3,−110,−110,14
NY Jets,MIA Dolphins,-3,−120,+110,+3,−108,−130,14
LV Raiders,TB Buccaneers,+3,+100,+124,+4.5,−112,−148,14
JAX Jaguars,TEN Titans,+4.5,−110,−122,-4.5,−110,+102,14
SEA Seahawks,ARI Cardinals,-4.5,−110,−105,+3,−110,−115,14
BUF Bills,LA Rams,+3,−110,−118,-3,−110,−102,14
CHI Bears,SF 49ers,-3,−110,+195,+1,−110,−238,14
LA Chargers,KC Chiefs,+1,−110,+230,-1,−110,−285,14
CIN Bengals,DAL Cowboys,-1,−110,+100,-1,−110,−120,14
LA Rams,SF 49ers,-1,−110,+230,+1,−110,−285,15
DAL Cowboys,CAR Panthers,+1,−110,−278,-5,−110,+225,15
MIA Dolphins,HOU Texans,-5,−112,+120,+5,−110,−142,15
CIN Bengals,TEN Titans,+5,−108,−218,+1,−110,+180,15
BAL Ravens,NY Giants,+1,−110,−285,-1,−110,+230,15
WAS Commanders,NO Saints,-1,−110,+130,+3.5,−110,−155,15
KC Chiefs,CLE Browns,+3.5,−112,−142,-3.5,−108,+120,15
NY Jets,JAX Jaguars,-3.5,−108,−118,-1,−112,−102,15
BUF Bills,DET Lions,-1,−110,+110,+1,−110,−130,15
PIT Steelers,PHI Eagles,+1,−110,+180,+1,−110,−218,15
IND Colts,DEN Broncos,+1,−110,−135,-1,−110,+114,15
TB Buccaneers,LA Chargers,-1,−110,+124,-1,−110,−148,15
NE Patriots,ARI Cardinals,-1,−110,+154,+1,−110,−185,15
GB Packers,SEA Seahawks,+1,−110,−118,+7.5,−110,−102,15
CHI Bears,MIN Vikings,+7.5,−110,−110,-7.5,−110,−110,15
ATL Falcons,LV Raiders,-7.5,−110,−120,+4,−110,+100,15
CLE Browns,CIN Bengals,+4,−110,+150,-4,−108,−180,16
HOU Texans,KC Chiefs,-4,−110,+170,-2,−112,−205,16
PIT Steelers,BAL Ravens,-2,−112,+195,+2,−110,−238,16
TEN Titans,IND Colts,+2,−108,+160,+6,−110,−192,16
NY Giants,ATL Falcons,+6,−110,+170,-6,−110,−205,16
LA Rams,NY Jets,-6,−110,+130,-4.5,−110,−155,16
DET Lions,CHI Bears,-4.5,−110,−112,+4.5,−110,−108,16
ARI Cardinals,CAR Panthers,+4.5,−110,−118,-3,−110,−102,16
NE Patriots,BUF Bills,-3,−105,+330,+3,−110,−425,16
PHI Eagles,WAS Commanders,+3,−115,−170,+3,−110,+142,16
DEN Broncos,LA Chargers,+3,−110,+164,-3,−110,−198,16
MIN Vikings,SEA Seahawks,-3,−110,+105,-5.5,−110,−125,16
JAX Jaguars,LV Raiders,-5.5,−110,−115,+5.5,−110,−105,16
SF 49ers,MIA Dolphins,+5.5,−110,−115,+2.5,−110,−105,16
TB Buccaneers,DAL Cowboys,+2.5,−110,+180,-2.5,−110,−218,16
NO Saints,GB Packers,-2.5,−110,+180,+3,−110,−218,16
KC Chiefs,PIT Steelers,+3,−112,−205,-3,−110,+170,17
BAL Ravens,HOU Texans,-3,−108,−122,+5.5,−110,+102,17
SEA Seahawks,CHI Bears,+5.5,−110,+154,-5.5,−110,−185,17
LV Raiders,NO Saints,-5.5,−110,+130,+4,−110,−155,17
CAR Panthers,TB Buccaneers,+4,−110,+170,-4,−110,−205,17
GB Packers,MIN Vikings,-4,−110,−130,+3,−110,+110,17
TEN Titans,JAX Jaguars,+3,−120,+160,-3,−110,−192,17
DEN Broncos,CIN Bengals,-3,+100,+310,+3,−110,−395,17
ATL Falcons,WAS Commanders,+3,−110,−142,-3,−110,+120,17
NY Jets,BUF Bills,-3,−110,+120,+2.5,−110,−142,17
IND Colts,NY Giants,+2.5,+100,−130,-2.5,−110,+110,17
LA Chargers,NE Patriots,-2.5,−120,−148,+1,−110,+124,17
ARI Cardinals,LA Rams,+1,−115,+205,-1,−110,−250,17
DAL Cowboys,PHI Eagles,-1,−105,+124,+10.5,−110,−148,17
MIA Dolphins,CLE Browns,+10.5,−110,+110,-10.5,−110,−130,17
DET Lions,SF 49ers,-10.5,−110,+180,+7,−110,−218,17
MIA Dolphins,NY Jets,+7,−108,+130,-7,−108,−155,18
CHI Bears,GB Packers,-7,−112,+145,+1.5,−112,−175,18
CAR Panthers,ATL Falcons,+1.5,−110,+230,-1.5,−110,−285,18
HOU Texans,TEN Titans,-1.5,−110,−155,+3,−110,+130,18
MIN Vikings,DET Lions,+3,+100,+205,-3,−110,−250,18
NY Giants,PHI Eagles,-3,−120,+185,-1,−110,−225,18
WAS Commanders,DAL Cowboys,-1,−112,+195,+1,−110,−238,18
NO Saints,TB Buccaneers,+1,−108,+114,-1,−110,−135,18
CIN Bengals,PIT Steelers,-1,−110,−118,+1,−110,−102,18
CLE Browns,BAL Ravens,+1,−110,+170,-1.5,−110,−205,18
JAX Jaguars,IND Colts,-1.5,−110,+114,+1.5,−110,−135,18
BUF Bills,NE Patriots,+1.5,−110,−180,-1.5,−110,+150,18
LA Chargers,LV Raiders,-1.5,−110,−115,+1.5,−108,−105,18
KC Chiefs,DEN Broncos,+1.5,−110,−192,+1.5,−112,+160,18
SF 49ers,ARI Cardinals,+1.5,−110,−192,-1.5,−110,+160,18
SEA Seahawks,LA Rams,-1.5,−110,+185,+3.5,−110,−225,18
